"","tags","time"
"41","['dancers', 'fusion', 'groupdance', 'dancelife', 'team', 'thefusionists', 'oregonstateuniversity', 'passion', 'portlandoregon', 'bollywood', 'danceon', 'indiandance', 'bollyfusion', 'bollyshake', 'snehadesaichoreography']","2019"
"44","['oregon', 'like', 'likeforlike', 'blue', 'followforfollow', 'oregonstateuniversity', 'spring', 'corvallis', 'nature', 'comment4comment', 'sky', 'clouds', 'like4like', 'comment', 'beautiful', 'follow4follow', 'white', 'college']","2016"
"46","['KYBOE', 'ad', 'LIVEBIGGER']","2017"
"48","['OregonStateUniversity', 'MedfordOregon']","2018"
"49","['GoBeavs', '3Peat']","2017"
"50","['oregonweddingphotographer', 'Oregonbride', 'oregonphotography', 'oregonexplored', 'Oregoncoast', 'oregonmade', 'oregonwinecountry', 'oregonartist', 'OregonStateUniversity', 'oregonrealestate', 'oregongirl', 'oregonnw', 'oregontrail', 'OregonBeer', 'oregonisawesome', 'oregonstate', 'oregonwedding', 'oregonliving', 'oregonlife', 'oregonlove', 'oregoncity', 'oregonwine', 'oregongrown', 'oregonweed', 'Oregon', 'oregonian', 'oregonducks', 'oregonphotographer', 'OregonZoo', 'oregondogs']","2019"
"51","['556', 'tactical', 'instagram', 'ar15', 'oregonstateuniversity', 'radianweapons', '2a', 'tacticool', 'pewpew', 'osu', 'gunsofinstagram', 'frenchbo', 'igmilitia', '556natoflicker', 'giveaway', 'shooter', 'leupold', 'merica', 'pewpewlife']","2016"
"52","['oregon', 'likeforlike', 'followforfollow', 'flower', 'commentforcomment', 'follow', 'Corvallis', 'oregonstateuniversity', 'flowers', 'love', 'nature', 'comment4comment', 'naturephotography', 'like4like', 'comment', 'nature_perfection', 'follow4follow', 'forest', 'colorful']","2016"
"53","['oregonstateuniversity', 'reserstadium', 'reser', 'parkerstadium', 'gill', 'parkerpup', 'gillcoliseum', 'gobeavs']","2018"
"54","['DontRainOnMyParade', 'oregonstateuniversity', 'TiggerTheSpecialCat', 'freshstart', 'spayandneuter']","2019"
"55","['explore', 'landscapephotography', 'oregonstateuniversity', 'earth', 'beach', 'hiking', 'naturephotography', 'pnw', 'beautifuldestinations', 'nature', 'earthpix', 'landscape_lovers', 'earth_shotz', 'photooftheday', 'earthporn', 'hikingadventures', 'naturegram', 'pnwwonderland', 'ocean', 'picoftheday', 'outdoors', 'oregon', 'vacation', 'instagram', 'outinoregon', 'landdscape', 'travelphotography', 'exploretocreate', 'instagood', 'travel']","2018"
"56","['portland', 'oregonstateuniversity', 'nature', 'horticulture', 'plants', 'landscapedesign', 'gardendesigner', 'garden', 'plantlover', 'mastergardener', 'designtip', 'plantlife', 'gardendesign', 'gardening', 'inspiration', 'gardeninspiration', 'danhinkley']","2017"
"57","['oregon', 'likeforlike', 'naturelovers', 'followforfollow', 'flower', 'red', 'commentforcomment', 'oregonstateuniversity', 'commentback', 'love', 'nature', 'comment4comment', 'like4like', 'comment', 'beautiful', 'follow4follow', 'pretty']","2016"
"59","['stylediary', 'affordablefashion', 'gameday', 'uoonyou', 'oregonstateuniversity', 'portlandblogger', 'femfeed', 'collegeblogger', 'collegefootball', 'mycampuscloset', 'nbpmodel', 'casualstyle', 'urbanoutfitters', 'freepeople', 'gobeavs', '9daystillgameday', 'oregonstatefootball']","2018"
"60","['gobeavs', 'muquad', 'oregonstateuniversity']","2016"
"61","['PacificLoggingCongress2018', 'OregonStateUniversity', 'Loggergirl', 'PLC2018', 'ForestryEquipment', 'LS855E', 'getinvolved', 'Tigercat', 'youngloggers', 'TigercatFamily', 'PacificLoggingCongress', 'Forestry', 'FutureJobOpportunities', 'steepterrainlogging', 'Oregon', 'forestindustry', 'ShovelLogger', 'OregonState', 'SteepSlope']","2018"
"62","['OregonStateUniversity', 'Agenda2030', 'GlobalWarming', 'NewWorldOrder', 'environmental', 'deforestation', 'WorldGovernance', 'ParisAccord', 'ClimateChange', 'Agenda21', 'SustainableDevelopment', 'ScientificDictatorship', 'COP23', 'Technocracy', 'GeoEngineering', 'PopulationControl']","2017"
"63","['apartmentliving', 'stylediary', 'bedbathandbeyondhaul', 'homegoodshappy', 'oregonstateuniversity', 'portlandblogger', 'tjmaxxfinds', 'oregonblogger', 'americanstyle', 'collegelife', 'casualstyle', 'myshopstyle', 'homegoods', 'homedecorlovers', 'sscollective', 'bloglovinhome', 'apartmentgoals', 'apartmentdecor']","2018"
"64","['humansofuniversity']","2018"
"65","['humansofuniversity']","2018"
"66","['oregon', 'tailgating', 'teamspirit', 'win', 'homecoming', 'oregonstateuniversity', 'sponsored', 'kroger', 'simpletruth', 'privateselection', 'FREDMEYER', 'oregonstate', 'oregonducks', 'footballseason', 'GameDayGreats', 'giveaway', 'sweepstakes', 'giftcard', 'oregonstatebeavers', 'footballtime']","2018"
"68","['OregonStateUniversity', '⚡️', 'CutsByWatts', 'HighQuailty', 'NextChapter', 'GoBEAVS', 'TheJourney']","2018"
"69","['OregonStateUniversity', 'CutsByWatts', '2013GatesMillenniumScholar', 'CollegeGraduate']","2018"
"70","['oregonstateuniversity', 'wrecktheuni']","2018"
"71","['gobeavs', 'corvallis', 'oregonstateuniversity']","2016"
"72","['oregonstateuniversity', 'c63scoupé']","2017"
"73","['outfitinspo', 'affordablefashion', 'starbuckscoffee', 'pnw', 'americanstyle', 'oregonstateuniversity', 'misguided', 'portlandblogger', 'tjmaxxfinds', 'homegoodshappy', 'collegeblogger', 'collegelife', 'casualstyle', 'starbucks', 'ootdfashion', 'myshopstyle', 'bloglovin', 'homedecor', 'apartmentdecor', 'homegoodsfinds']","2018"
"74","['momofone', 'socal', 'motivationmonday', 'lakersfan', 'oregonstateuniversity', 'plantbasedgains', 'winenot', 'veganlife', 'coparent', 'temeculaca', 'whynotyou', 'oregonstate', 'nopainnochampagne', 'seahawksnation', 'strongmoms']","2018"
"75","['oregon', 'f150', 'sunsets', 'pnw', 'trucks', 'f150nation', 'oregonstateuniversity', 'oregonian', 'rhinorack', 'pnwonderland', 'ford', 'oregun']","2017"
"77","['OregonStateUniversity', 'Education', 'ProtectWhatYouLove', 'Research', 'OceanOptimism', 'OneOceanGlobal', 'DroneFootage', 'SaveOurWhales', 'Conservation', 'BlueWhale', 'Krill']","2018"
"78","['collegiate', 'aboutalook', 'pnw', 'thefashionforce', 'oregonstateuniversity', 'portlandblogger', 'oregonblogger', 'femfeed', 'GoBeavs', 'collegeblogger', 'pdxblog', 'bloglovin', 'corvallisoregon', 'lifestyleblogger', 'OutThere', 'beavernation']","2018"
"79","['mcmenamins']","2019"
"80","['oregonstateuniversity', 'korean', 'skincare', 'menstyle', 'menshair', '강남남자', 'tokyolife', 'usdaorganic', 'mancare', 'entrepreneur', 'cosmetics', 'allinone', 'seattle', 'mensfashion', 'koreanskincare', '인스타일', 'rx88', 'akomerican', '갓세븐', 'got7', '인스타마켓', 'sephora', '인스타그램', 'fda', 'nyc', 'rx88에코올인원크림', 'luxury', 'rx88에코올인원크림디어맨', 'luxuryskincare']","2017"
"81","['greatestshowondirt', 'oregonstateuniversity', 'baseball', 'beavers', 'collegeworldseries', 'lsu', 'tigers', 'cws']","2017"
"82","['HGI']","2014"
"83","['oregonfootball', 'oregonstateuniversity', 'CFB', 'OSUfootball', 'beavers', 'collegefootball', 'oregonstate', 'gobeavers', 'OSU', 'gobeavs', 'oregonstatefootball', 'americanfootball_all_day', 'OSUbeavers']","2016"
"84","['明明是跑者身分', 'oregonstateuniversity', 'duck', 'my', 'university', 'nikebasketball', 'nike', 'ncaa', '第一次發圖文不符有點緊張', 'basketball', 'oregonstate', 'NIKE起源地', 'photography', 'photooftheday', 'usa', '為何動了球者的靈魂', 'usabasketball', '一切都是不小心的', 'ducks', 'oregon', '人生首次站在NCAA的球場上', '下次好想親吻NBA的地板', '其實內心好激動']","2018"
"85","['oregonbeavers', 'oregonstateuniversity', 'osu', 'osufootball', 'beavers', 'collegefootball', 'oregonstate', 'gobeavers', 'cfb', 'oregonstatebeavers', 'americanfootball_all_day', 'oregonfootball']","2016"
"86","['weatherfordhall', 'oregonstateuniversity', 'osu', 'oregonstate', 'gobeavs', 'beavernation']","2017"
"88","['GoBeavs']","2017"
"89","['Repost', 'fosburyflop', 'highjump', 'oregonstateuniversity', 'adidassler', 'trackandfield', 'skyhorsepublishing', 'wizardofoz', 'AdiDassler', 'olympics', 'adidasfounder', 'dickfosbury', 'adidas']","2018"
"90","['houseportrait', 'oregonstateuniversity', 'osu', 'circaoldhouses', 'craftsman', 'houses_ofthe_world', 'awning', 'oldhousecharm', 'oregonstate', 'bungalow', 'archi_ologie', 'beautifulhousesoldandnew', 'corvallis', 'houses_phototrip', 'oldhouselove', 'SWcolorlove', 'bhghomes', 'curbed', 'curbappeal', 'total_houses', 'cottage', 'housestalker']","2018"
"91","['tibialhemimelia', 'fosterkittenlovesonnetandhaiku', 'sonnetandhaiku', 'oregonstateuniversity', 'differentlyabled', 'perfectlyimperfect']","2019"
"92","['gobeavs']","2018"
"93","['collegegameday', 'goldenbears', 'oregonstateuniversity', 'osu', 'calbears', 'OSUfootball', 'osubeavers', 'collegefootball', 'gobeavers', 'cfb', 'gobeavs', 'californiagoldenbears', 'oregonstatebeavers', 'oregonstatefootball', 'americanfootball_all_day']","2016"
"95","['oregonstateuniversity', 'torchlight', 'nightphoto', 'nightskyline', '❤', 'nightskyphotography', 'bluelight', 'oregonsky', 'treetops', 'bendoregon', 'oregonstate', 'skylight', 'wikiup', 'travelvlog', 'hammockcamping', 'nightscape', 'hammockers', 'lightitup', 'traveloregon', 'campingvibes', 'nightphotos', 'trees', 'mysky', 'stump', 'lighttrails', 'campingtrip', 'nightshot', 'easternoregon', 'skylights']","2017"
"96","['pnwhikes', 'hikingbuddy', 'oregonstateuniversity', 'longexposure', 'oregonbound', 'osu', 'oregonexplored', 'oregonhiking', 'hikinggear', 'oregonmade', 'pnwsummer', 'pnwisbest', 'hiking4fun', 'hikingboots', 'pnw', 'oregonians', 'oregonlife', 'pnwhiking', 'pnwwonderland', 'pnwcollective', 'pnwphotographer', 'oregon', 'nightshots', 'oregonian', 'pnwlife', 'oregonhikes', 'hikingshoes']","2017"
"98","['cinema21', 'mfamovie', 'oregonstateuniversity', 'portlandstateuniversity']","2018"
"99","['tatau', 'oregonstateuniversity', 'sharkskin', 'osu', 'beavers', 'tataubrand', 'tataubrandfamily']","2017"
"100","['oregonsunset', 'smalltowns', 'Vortex', 'oregonstateuniversity', 'westcoast', 'trailcam', 'exploreoregon', 'countrystyle', 'countryroads', 'oregonsummer', 'oregonnw', 'upperleftusa', 'sheddoregon', 'shedd', 'farmingcountry', 'countryhome', 'countrylove', 'countrykids', 'brownsvilleoregon', 'oregon', 'smalltown', 'vortexgear', 'oregonian', 'rural', 'oregonborn', 'brownsville', 'countrylivin', 'vortexoptics']","2017"
"102","['wrestling', 'Repost', 'ncaa', 'oregonstateuniversity', 'KWC', 'canadawrestling', 'unitedworldwrestling', 'beavernation']","2017"
"103","['OregonStateUniversity', 'Zilla']","2013"
"104","['OregonStateUniversity', 'Loggergirl', 'PLC2018', 'ForestryEquipment', 'ForestProducts', 'LS855E', 'forestequipment', 'getinvolved', 'Tigercat', 'youngloggers', 'TigercatFamily', 'PacificLoggingCongress', 'Forestry', 'FutureJobOpportunities', 'FutureCareerOpportunities', 'steepterrainlogging', 'Oregon', 'forestindustry', 'ShovelLogger', 'SteepSlope']","2018"
"105","['oregonstateuniversity']","2018"
"107","['OregonStateUniversity', 'Corvallis']","2014"
"108","['oahu', 'missingpolynesia', 'beavers', 'oregonstateuniversity']","2017"
"109","['oregon', 'brothers', 'oregonstateuniversity', 'fitness', 'getofftheroad', 'highspeedlowdrag', 'wildandfree', 'adventure', 'thundervegas']","2018"
"110","['wholegrain', 'minnstagram', 'oregonstateuniversity', 'eatrealfood', 'dessert', 'eatlocal', 'realfood', 'makebarleygreatagain', 'barleyalwaysgreatagain', 'dessertporn']","2017"
"111","['majoredinbeer', 'yepiwasafratboy', 'pnw', 'oregonstateuniversity', 'beaverstadium', 'imissmy20s', 'osu', 'goodtimes', 'osubeavers', 'collegelife', 'oregonstate', 'pnwonderland', 'collegedays', '556natoflicker', 'collegestudent', 'beerology', 'gobeavs', 'corvallisoregon', 'beavernation']","2017"
"112","['universalaudio', 'musicstudio', 'oregonstateuniversity', 'gml', 'mixing', 'dangerousmusic', 'schoeps', 'recordingengineer', 'anjunarecording', 'neumann', 'royer', 'avalon', 'manley', 'producerlife', 'concert', 'recording', 'studio', 'lynxaurora', 'studioporn', 'liverecording', 'producer', 'choral', 'recordingstudio', 'mixingengineer', 'gearporn', 'empiricallabs', 'protools']","2017"
"113","['oregon', 'countrymusic', 'oregonstateuniversity', 'football', 'benie', 'sports', 'singersongwriter', 'cowboyboots', 'countryboy', 'goodvibes', 'sportsgear', 'country', 'college', 'beavernation']","2019"
"114","['aredonutsafoodgroup', 'donutsarelife', 'oregonstateuniversity', 'imscrewed', 'corvallis', 'oregonstate', 'oregonmade', 'donuts', 'smallbusiness']","2017"
"115","['donewithfinals', 'springterm', 'oregonstateuniversity']","2018"
"116","['OregonStateUniversity', 'Loggergirl', 'PLC2018', 'ForestryEquipment', 'LS855E', 'getinvolved', 'Tigercat', 'SteepSlope', 'youngloggers', 'TigercatFamily', 'PacificLoggingCongress', 'Forestry', 'FutureJobOpportunities', 'steepterrainlogging', 'Oregon', 'forestindustry', 'ShovelLogger', 'thankyouDJI']","2018"
"117","['oregonstateuniversity', 'batting', 'milb', 'baseballislife', 'baseballlove', 'ncaa', 'osubaseball', 'highschoolbaseball', 'beisbol', 'ncaabaseball', 'oregonstate', 'baseballplayer', 'homerun', 'youthsports', 'baseball', 'battingpractice', 'baseballswag', 'youthbaseball', 'baseballseason', 'hitting', 'mlb', 'oregonstatebaseball', 'osubeavers', 'baseballlife', 'baseballplayers', 'collegebaseball', 'baseballamerica', 'hittingpost', 'beaverbaseball']","2017"
"119","['dhbwravensburg', 'oregonstateuniversity', 'racing', 'design', 'racecar', 'racecardriver', 'tbt', 'goGFR', 'fsae', 'oregonstate', 'globalformularacing', 'ThrowbackThursday', 'FSSpain', 'formulasae', 'GFRiends', 'FSGermany', 'FSAEMichigan', 'teamworkmakesdreamwork', 'engineering', 'team', 'FSAustria', 'weAreGFR', 'gfr15']","2019"
"120","['OregonStateUniversity', 'HumaneSociety', 'SunsetsandSkiesJewelry', 'TPForeverFoundation']","2016"
